Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,3,30.0,-16.25
Query 2,2,20.0,0.0
Query 3,2,20.0,-64.0
Query 4,2,20.0,0.0
Query 5,0,0.0,0.0
Query 6,3,30.0,-21.25
Query 7,3,30.0,-17.5
Query 8,3,30.0,-7.75
Query 9,4,40.0,-5.1
Query 10,0,0.0,0.0
Query 11,1,10.0,0.0
Query 12,0,0.0,0.0
Query 13,0,0.0,0.0
Query 14,0,0.0,0.0
Query 15,1,10.0,0.0
Query 16,4,40.0,-0.8
Query 17,3,30.0,-7.5
Query 18,2,20.0,-17.0
Query 19,0,0.0,0.0
Query 20,0,0.0,0.0
Query 21,3,30.0,-6.25
Query 22,1,10.0,0.0
Query 23,1,10.0,0.0
Query 24,1,10.0,0.0
Query 25,3,30.0,-3.25
Query 26,0,0.0,0.0
Query 27,0,0.0,0.0
Query 28,3,30.0,-27.5
Query 29,3,30.0,-16.0
Query 30,2,20.0,-17.0
Query 31,3,30.0,-11.5
Query 32,2,20.0,-8.0
Query 33,1,10.0,0.0
Query 34,2,20.0,-19.0
Query 35,0,0.0,0.0
Query 36,3,30.0,-1.25
Query 37,0,0.0,0.0
Query 38,1,10.0,0.0
Query 39,1,10.0,1.0
Query 40,3,30.0,-9.25
Query 41,4,40.0,-6.5
Query 42,5,50.0,-0.10000000000000009
Query 43,0,0.0,0.0
Query 44,2,20.0,1.0
Query 45,3,30.0,-6.25
Query 46,2,20.0,-7.0
Query 47,0,0.0,0.0
Query 48,4,40.0,-1.6
Query 49,4,40.0,-0.8
Query 50,1,10.0,0.0
Query 51,1,10.0,0.0
Query 52,5,50.0,0.15000000000000002
Query 53,2,20.0,-3.0
Query 54,1,10.0,0.0
Query 55,3,30.0,-5.5
Query 56,3,30.0,0.25
Query 57,2,20.0,-64.0
Query 58,3,30.0,0.75
Query 59,2,20.0,-1.0
Query 60,0,0.0,0.0
Query 61,1,10.0,0.0
Query 62,0,0.0,0.0
Query 63,3,30.0,-22.5
Query 64,0,0.0,0.0
Query 65,0,0.0,0.0
Query 66,1,10.0,0.0
Query 67,2,20.0,-9.0
Query 68,3,30.0,-5.5
Query 69,1,10.0,0.0
Query 70,3,30.0,-4.5
Query 71,2,20.0,-1.0
Query 72,0,0.0,0.0
Query 73,0,0.0,0.0
Query 74,3,30.0,-12.0
Query 75,4,40.0,-5.6
Query 76,5,50.0,-1.1
Query 77,3,30.0,-21.5
Query 78,0,0.0,0.0
Query 79,1,10.0,0.0
Query 80,5,50.0,-2.1
Query 81,1,10.0,0.0
Query 82,1,10.0,0.0
Query 83,2,20.0,-24.0
Query 84,1,10.0,0.0
Query 85,2,20.0,-81.0
Query 86,2,20.0,-4.0
Query 87,0,0.0,0.0
Query 88,1,10.0,0.0
Query 89,4,40.0,0.5
Query 90,4,40.0,-1.2999999999999998
Query 91,2,20.0,-4.0
Query 92,2,20.0,0.0
Query 93,1,10.0,0.0
Query 94,4,40.0,0.0
Query 95,4,40.0,0.7
Query 96,2,20.0,-15.0
Query 97,1,10.0,0.0
Query 98,2,20.0,-28.0
Query 99,3,30.0,0.25
Query 100,0,0.0,0.0
Averages,1.89,18.9,-6.094000000000001
